id,name,category_id,price,weight,is_available
1,Фисташки,1,290.00,100,True
2,Джерки,1,430.00,80,True
3,Жареные пельмени,1,390.00,250,True
4,Чесночные гренки,1,370.00,150,True
5,Сырные палочки,1,480.00,200,True
6,Попкорн из Камбалы,1,780.00,150,True
7,Попкорн из креветок,1,520.00,120,True
8,Жареная корошка,1,320.00,100,True
9,Кольца кальмаров,1,640.00,200,True
10,Куриные крылья,1,720.00,400,True
11,Креветки пивные,1,890.00,250,True
12,Пивной сет на компанию,1,1580.00,800,True
13,Печеночный паштет,2,530.00,200,True
14,Хлебчики ассорти,2,410.00,250,True
15,Домашние маринады,2,450.00,200,True
16,Карпаччо из говядины,2,890.00,150,True
17,Филе сельди,2,520.00,200,True
18,Ассорти сала,2,450.00,150,True
19,Сельдерей / морковь,2,310.00,200,True
20,Греческий,3,670.00,300,True
21,Хрустящие баклажаны,3,680.00,280,True
22,Салат со стейком,3,810.00,350,True
23,Куриный с беконом,3,650.00,300,True
24,Цезарь с курицей,3,650.00,300,True
25,Цезарь с креветками,3,780.00,300,True
26,Борщ из говядины,4,580.00,350,True
27,Том Ям,4,750.00,350,True
28,Лапша куриная,4,430.00,350,True
29,Суп дня,4,390.00,350,True
30,Венский шницель,5,720.00,250,True
31,Свиные рёбрышки,5,830.00,400,True
32,Куриное филе,5,690.00,300,True
33,Филе камбалы,5,720.00,300,True
34,Папардели с курицей,5,680.00,350,True
35,Говяжий бифштекс,5,790.00,350,True
36,Бургер ПИВНИЦА,5,810.00,400,True
37,Телячьи щёчки,5,860.00,350,True
38,Стейк Вавет,5,1450.00,350,True
39,Колбаски (классические),6,720.00,300,True
40,Колбаски охотничьи,6,740.00,300,True
41,Колбаски альпийские,6,650.00,300,True
42,Куриные с зеленью,6,2100.00,300,True
43,Картофель фри,7,260.00,200,True
44,Овощи свежие,7,360.00,200,True
45,Овощи гриль,7,350.00,200,True
46,Капуста по-баварски,7,290.00,200,True
47,Картофельное пюре,7,290.00,200,True
48,Соус Сырный,8,160.00,50,True
49,Соус Тартар,8,160.00,50,True
50,Соус Пивница,8,160.00,50,True
51,Соус Луизиана,8,160.00,50,True
52,Кетчуп,8,160.00,50,True
53,Булочка белая,9,90.00,80,True
54,Булочка чёрная,9,90.00,80,True
55,Брусничный пирог,10,420.00,120,True
56,Торт сметанник,10,420.00,120,True
57,Торт морковный,10,420.00,120,True
58,Яблочный штрудель,10,450.00,150,True
59,Мороженое,10,180.00,100,True
60,Вода минеральная с газом,11,310.00,250,True
61,Вода минеральная без газа,11,310.00,250,True
62,Эвервесс кола,11,310.00,250,True
63,Эвервесс тоник,11,310.00,250,True
64,Лимонад Манго-лимон (500 мл),12,500.00,500,True
65,Лимонад Манго-лимон (1000 мл),12,850.00,1000,True
66,Лимонад Малина-мята (500 мл),12,500.00,500,True
67,Лимонад Малина-мята (1000 мл),12,850.00,1000,True
68,Апельсин (свежевыжатый),13,390.00,200,True
69,Грейпфрут (свежевыжатый),13,390.00,200,True
70,Яблоко (свежевыжатый),13,390.00,200,True
71,Морковь (свежевыжатый),13,390.00,200,True
72,Сельдерей (свежевыжатый),13,390.00,200,True
73,Сок апельсиновый,14,250.00,200,True
74,Сок вишнёвый,14,250.00,200,True
75,Сок яблочный,14,250.00,200,True
76,Сок томатный,14,250.00,200,True
77,Морс ягодный,14,180.00,250,True
78,Ванильный коктейль,15,450.00,400,True
79,Клубничный коктейль,15,450.00,400,True
80,Шоколадный коктейль,15,450.00,400,True
81,Чай Ассам,16,390.00,600,True
82,Чай Эрл Грей,16,390.00,600,True
83,Чай Молочный улун,16,390.00,600,True
84,Чай Сенча,16,390.00,600,True
85,Облепиха с мёдом и корицей,17,510.00,600,True
86,Имбирный с апельсином,17,510.00,600,True
87,Малиновый с базиликом,17,510.00,600,True
88,Американо,18,260.00,220,True
89,Капучино,18,290.00,250,True
90,Латте,18,290.00,250,True
91,Двойной эспрессо,18,270.00,120,True
92,Эспрессо,18,210.00,60,True
93,Гляссе,18,330.00,250,True
